subject,trial,excluded,windowStart,windowEnd
sp002,96,0,566,1520
sp002,97,0,720,1401
sp002,98,0,575,1413
sp002,99,0,674,1403
sp002,100,0,678,1262
sp002,101,0,730,1296
sp002,102,0,801,1445
sp002,103,0,648,1192
sp002,104,0,635,1299
sp002,105,0,636,1277
sp002,106,0,554,1241
sp002,107,0,512,1398
sp002,108,0,544,1341
sp002,109,0,619,1386
sp002,110,0,445,1206
sp002,111,0,575,1514
sp002,112,0,386,1200
sp002,113,0,613,1536
sp002,114,0,305,1365
sp002,115,0,738,1485
sp002,116,0,517,1415
sp002,117,0,340,867
sp002,118,0,604,1190
sp002,119,0,645,1381
sp002,120,0,497,1182
sp003,1,0,529,992
sp003,2,1,0,0
sp003,3,0,552,1180
sp003,4,0,587,1298
sp003,5,0,604,1341
sp003,6,1,0,0
sp003,7,0,779,1360
sp003,8,1,0,0
sp003,9,0,715,1075
sp003,10,0,516,1235
sp003,11,1,0,0
sp003,12,0,439,1203
sp003,13,0,691,980
sp003,14,1,0,0
sp003,15,0,635,1314
sp003,16,0,740,1280
sp003,17,0,496,1195
sp003,18,0,488,1336
sp003,19,0,594,1385
sp003,20,0,648,1377
sp003,21,0,458,1252
sp003,22,0,592,1292
sp003,23,0,520,1323
sp003,24,0,706,1488
sp003,25,0,600,1469
sp003,26,0,509,1348
sp003,27,1,0,0
sp003,28,0,530,1322
sp003,29,0,576,1349
sp003,30,0,671,1467
sp003,31,0,637,1274
sp003,32,0,579,1345
sp003,33,0,642,1370
sp003,34,0,758,1444
sp003,35,0,625,1485
sp003,36,0,505,1423
sp003,37,0,528,1308
sp003,38,0,550,1265
sp003,39,0,366,1119
sp003,40,0,446,1270
sp003,41,0,551,1365
sp003,42,0,686,1516
sp003,43,0,573,1381
sp003,44,0,576,1623
sp003,45,0,704,1378
sp003,46,0,619,1377
sp003,47,0,693,1301
sp003,48,1,0,0
sp003,49,0,597,1280
sp003,50,0,712,1411
sp003,51,0,553,1083
sp003,52,0,627,1011
sp003,53,0,609,1184
sp003,54,0,573,1213
sp003,55,0,625,1275
sp003,56,0,483,1121
sp003,57,0,652,1443
sp003,58,0,734,1459
sp003,59,0,388,1456
sp003,60,0,548,1418
sp003,61,1,0,0
sp003,62,0,581,1184
sp003,63,0,639,1337
sp003,64,0,629,1333
sp003,65,0,452,960
sp003,66,0,438,1267
sp003,67,1,0,0
sp003,68,0,654,1367
sp003,69,1,0,0
sp003,70,0,422,1244
sp003,71,0,388,1004
sp003,72,0,586,1249
sp003,73,1,0,0
sp003,74,0,349,1080
sp003,75,0,518,1128
sp003,76,0,603,1351
sp003,77,0,632,1345
