subject,trial,absolute_f1,expected_minus_actual,amplitude,percentage,target,comments
sp012,113,0,0,0,0,200,length of final window too small
sp012,119,0,0,0,0,200,length of final window too small
sp013,23,473,252,0,0.533,0,expected - actual to absolute f1 ratio too small
sp013,37,573,138,0,0.241,0,expected - actual to absolute f1 ratio too small
sp013,43,737,8,0,0.011,0,expected - actual to absolute f1 ratio too small
sp013,62,722,115,0,0.159,0,expected - actual to absolute f1 ratio too small
sp013,92,696,0,0,0,0,expected - actual to absolute f1 ratio too small
sp013,104,903,435,0,0.482,0,expected - actual to absolute f1 ratio too small
sp013,23,0,0,0,0,200,length of final window too small
sp013,37,0,0,98,0,200,length of final window too small
sp013,43,0,0,8,0,200,length of final window too small
sp013,62,0,0,27,0,200,length of final window too small
sp013,92,0,0,0,0,200,length of final window too small
sp015,38,0,0,62,0,200,length of final window too small
sp015,56,0,0,199,0,200,length of final window too small
sp016,44,808,478,0,0.592,0,expected - actual to absolute f1 ratio too small
sp016,96,0,0,0,0,200,length of final window too small
sp001,1,350,65,0,0.186,0,expected - actual to absolute f1 ratio too small
sp001,24,611,159,0,0.26,0,expected - actual to absolute f1 ratio too small
sp001,32,487,163,0,0.335,0,expected - actual to absolute f1 ratio too small
sp001,52,613,245,0,0.4,0,expected - actual to absolute f1 ratio too small
sp001,59,745,415,0,0.557,0,expected - actual to absolute f1 ratio too small
sp001,63,831,136,0,0.164,0,expected - actual to absolute f1 ratio too small
sp001,72,828,224,0,0.271,0,expected - actual to absolute f1 ratio too small
sp001,77,651,156,0,0.24,0,expected - actual to absolute f1 ratio too small
sp001,88,607,139,0,0.229,0,expected - actual to absolute f1 ratio too small
sp001,95,698,203,0,0.291,0,expected - actual to absolute f1 ratio too small
sp001,1,0,0,65,0,200,length of final window too small
sp001,24,0,0,159,0,200,length of final window too small
sp001,32,0,0,163,0,200,length of final window too small
sp001,63,0,0,136,0,200,length of final window too small
sp001,77,0,0,156,0,200,length of final window too small
sp001,88,0,0,139,0,200,length of final window too small
