396.304370616726,495.591693213292,437.005122666669,438.48950854335,476.352582911603,484.251345722557,513.297193109912,464.710185621637,467.060559566094,445.245409465489,455.778064557198,454.87717557813,466.430201320336,456.491626120047,432.570263167726
399.664691359085,497.130047287072,438.737029977372,439.183763972606,479.968870982772,486.083646273114,513.678532456812,468.136375670952,468.056467472907,444.756563804217,456.067963308095,454.080151182809,467.119353515224,458.598040272834,433.690573593733
348.158194282272,498.997539371455,441.577279850869,439.892609142801,483.100725193023,488.306543203182,514.281083333857,471.600102415759,468.966269937796,444.310669547019,457.282199756791,453.21534004814,467.750601798533,460.7713604479,434.948594300938
350.909693348739,501.150967074702,444.708534956288,440.707684714625,486.447142656593,490.562174743988,515.049337712927,475.222925977579,469.748793686921,444.034360203037,458.827042729846,452.385809909031,468.436093423413,462.942597101226,436.208919142563
354.964032190002,503.048491468619,447.807556638145,441.557668874668,489.669321794876,492.423554142492,515.809573420266,478.926267323564,470.950920236973,443.869270705736,460.578710061174,451.559705659922,469.003245896138,464.902614432788,437.512158927347
359.021540838474,504.199997608312,450.882155363555,442.442981941557,493.143739917553,494.387766521709,516.677218081465,482.604032386637,472.402015818539,444.014100626045,462.454074656208,451.815473404086,469.417398479282,466.967834878827,438.853203821467
363.418726999243,505.573474942054,453.984981918146,443.341585923726,496.415251258331,496.479972149626,517.630034520397,486.266466616457,473.857587302107,444.013778164373,464.366117223124,452.201565009743,469.71331167048,469.27978395416,440.350700185901
366.071345257554,506.487383356863,457.122828410279,444.325293319232,499.354963307413,498.590560433832,519.008308969808,489.875816101982,475.515277420563,444.948601166785,466.356559410773,452.047672493316,469.944572650392,471.609859864827,441.857202535809
368.774036912469,507.332410319892,460.373207030421,445.211056483859,502.194657485393,500.734143131186,520.448574345368,493.421749627637,477.346156480847,446.580425428636,468.361426354948,452.239357018138,470.250413700912,473.875005705299,443.448568316783
371.559925188882,508.604353659714,463.685338948571,446.100587543863,505.190439057562,502.831155705315,521.913341530319,496.898885512754,479.145823154157,448.257663821411,470.364632920967,452.789028270911,470.630408852108,476.28871707018,445.549142466526
374.283289358247,510.826296410316,467.56187148969,447.015211052958,508.022624839524,505.017038083075,523.466405866114,500.307032508688,480.805788461682,450.319921708017,472.359112576239,453.762222050145,470.937030669884,478.778046070826,447.679871253001
377.061573961364,513.103015301192,471.674461870481,448.043515260635,510.606032887533,507.193748478993,525.167595671807,503.529292187132,482.445222382314,452.387890478385,474.414887574714,454.720440805863,471.438477735313,481.269721214274,449.881861755213
