-0.3,369.1217936,448.3558775,612.4889852,441.3443036,627.0290366,653.5483962,428.8118185,435.4996739,712.347018,526.2421411,521.8713202,456.3584461,433.4703864,411.355371,463.7232852
-0.3,372.5156111,452.5644523,613.8957396,443.8389719,630.3196372,653.1075556,431.3761533,437.6791976,711.9364552,533.2809766,524.5883563,456.9391683,436.6727238,413.4283908,463.2518485
-0.3,375.8491572,456.764676,615.8692201,446.432132,632.2761909,650.2622448,433.9887424,439.802831,711.6525533,540.5908019,526.8871666,457.6844621,439.3722106,415.4729128,462.6751975
-0.3,379.6657851,460.8593529,619.3010998,449.4330805,634.7406968,646.9239961,436.3856766,441.8608276,710.0291212,546.1727538,528.8893348,458.7103867,441.9718931,417.5909381,462.0117039
-0.3,383.7860843,464.7819995,622.2425471,452.5195081,636.9925657,641.7004058,438.8604453,443.9013062,707.8706785,550.7512,530.4169978,459.8794166,445.2198349,419.7145893,461.7758593
-0.3,387.6019646,469.8143087,624.4669747,455.671687,639.0291431,632.4570264,441.3021145,446.6533065,706.2437338,553.6866752,532.2573193,461.1254454,448.3530413,422.4429579,461.5220684
-0.3,392.3271023,474.7058332,628.9455461,458.878065,640.8651955,624.2404922,443.7609232,449.6718906,704.2944352,556.5167679,534.138109,462.4919439,452.9107737,425.1772985,462.2435051
-0.3,395.9940994,480.1620023,482.2593182,462.1249082,642.5227195,615.6958045,446.3174208,452.7130086,702.9403752,559.3298031,536.0404423,463.9398185,457.3919922,427.8969155,464.6158165
-0.3,400.4360574,485.3961192,486.6349682,465.3370561,644.027155,609.1347256,448.9716842,455.9227302,701.4010024,562.0249434,537.7928522,465.6474746,461.8225703,430.5820099,467.1178272
-0.3,403.1112292,490.4898573,491.7438664,468.4962501,645.4076089,604.6587099,451.7114165,459.4773204,700.0304711,564.3510949,539.4547889,467.3883323,466.2363848,433.2126183,469.5105948
-0.3,408.036549,495.4504947,495.8059977,471.6706521,646.6978996,601.7263631,454.5081399,463.142393,698.9325734,566.6573508,541.4755759,469.1149692,470.3860681,435.6643226,472.0686152
-0.3,412.9394051,500.2965466,501.2002292,474.8567033,647.9321966,600.3260912,457.3153662,466.9508093,697.4907795,568.7438782,543.4993539,470.8612929,474.8801521,438.0495905,474.8492382
-0.3,418.1054993,505.0503074,505.9419194,478.0176328,649.451988,598.2282706,460.0781479,470.9209988,695.8879097,570.8386856,544.9335059,472.6687889,479.8286735,440.4724393,477.6633858
-0.3,423.4974393,509.7287829,509.9889917,481.2225239,651.3598666,596.1901808,462.7532005,475.1047648,694.4409456,572.0082006,546.5353243,474.5575529,484.9176348,442.8242708,480.3840394
-0.3,428.4577686,514.3417818,513.7056925,484.4874261,653.5761222,594.7428729,465.3256804,479.7365185,692.7823638,572.1974725,548.2010835,476.3793966,489.7781454,445.1061055,483.2998299
-0.3,432.959497,518.8933432,517.1403108,487.8221048,655.8412058,593.2127528,467.8127496,484.6144603,690.7147353,572.9426189,549.9813651,478.2349383,494.2652992,447.4763876,485.8978187
-0.3,437.0185473,523.3842323,520.3503979,491.2210647,658.5148481,590.861141,470.2528942,489.6899499,686.9787398,574.7058593,552.0080058,480.114967,498.438193,449.9409096,488.4157704
-0.3,440.8008015,527.814757,523.3994603,494.7164886,661.5785813,588.62038,472.6853799,494.9218993,682.3456965,575.3032638,554.9568914,482.0415407,502.4614287,452.5022039,490.6737239
-0.3,444.3901187,532.1845815,526.3432426,498.3131781,664.7512275,586.7878141,475.129171,500.2755093,676.3679893,575.716087,558.4048537,484.025245,506.5065862,455.148851,492.8251929
-0.3,447.8079528,536.4924057,529.6188765,502.0112634,666.3128597,585.4176331,477.5761434,505.6530289,669.9505736,576.4680064,562.3192317,486.0587496,510.7172193,457.8454102,494.743038
-0.3,451.2302674,540.7351698,533.8714572,505.807342,668.0291721,584.4473139,479.9974681,511.0333461,663.2845497,577.2213844,566.7601221,488.1413709,514.6557856,460.4398373,496.6421387
-0.3,454.567438,544.896034,538.1379757,509.6948851,669.8150197,583.9896576,482.2984542,516.319861,658.6109588,576.8594191,571.6392274,490.2658201,518.1703128,463.044268,498.5558915
-0.3,458.1371555,548.9701378,542.3649561,513.6639579,671.4643317,583.8601858,484.5686644,521.5115009,651.3714775,576.4409197,576.812524,492.3875883,521.6064355,465.7572298,500.2182488
-0.3,461.8549477,552.9058466,546.5632194,517.7024246,671.0553621,583.9600965,486.8349013,526.5090902,644.4734823,576.221882,582.5063332,494.4745014,524.9806482,468.5841666,501.8710076
-0.3,465.7379175,556.713203,551.1190121,521.7976043,670.7336069,584.4689942,489.1054247,531.2963122,637.6222258,577.1627078,588.1633479,496.4121498,528.3376254,471.4228746,503.4941119
-0.3,470.3845869,560.3803056,555.5733109,525.9362699,670.1468194,585.0583843,491.422971,535.8619797,633.3681918,578.1588218,593.6680614,498.2979601,532.0204785,474.2480603,504.9387458
-0.3,474.8601009,563.9722886,559.9408879,530.1037797,669.2814808,585.9638279,493.5768805,540.2066858,628.3098797,579.0233492,598.9984651,500.0789772,535.9434688,477.0973361,506.5100793
